lock	E001
star	E002
clock	E003
bars	E004
search	E005
otakantaa	E006
kansalaisaloite	E007
kuntalaisaloite	E008
document_circle	E009
circle_blank	E010
lausuntopalvelu_circle	E011
iteration_circle	E012
discussion_circle	E013
phone	E014
chat_circle	E015
file_small_circle	E016
keskustelu_circle	E017
muu_verkkopalvelu_circle	E018
gallup_circle	E019
pencil_circle	E020
legal_circle	E021
info_circle	E022
kysely_circle	E023
reload_sign	E024
ok_sign	E025
circle_search	E026
chat	E027
keskustelu	E028
muu_verkkopalvelu	E029
gallup	E030
facebook	E031
pencil	E032
legal	E033
info	E034
kysely	E035
signin	E036
signout	E037
exclamation_circle	E038
remove_sign	E039
ok	E040
light_bulb	E041
tasks	E042
file_small	E043
file_alt	E044
file	E045
file_text	E046
uniF1C1	F1C1
_422	E048
_423	E049
_424	E050
_425	E051
_426	E052
_427	E053
_428	E054
_429	E055
share	E056
trash	E057
print	E058
paste	E059
copy	E060
share	E061
edit	E062
question_ring	E063
question_circle	E064
question_default	E065
enter_sign	E066
enter	E067
twitter_box	E068
youtube_box	E069
box_blank	E070
rss_sign	E071
sign_blank	E072
facebook_sign	E073
linkedin_sign	E074
linkedin	E075
rss	E076
twitter	E077
youtube	E078
code	E079
mail_sign	E080
mail	E081
avatar_circle	E082
avatar_outline	E083
avatar_shield	E084
avatar	E085
group_circle	E086
group	E087
institution	E088
household	E089
business	E090
caret_up	E091
caret_right	E092
caret_down	E093
caret_left	E094
caret_down_sign	E095
ring_outline	E096
double_angle_left	E097
double_angle_right	E098
double_angle_up	E099
double_angle_down	E100
angle_left	E101
angle_right	E102
angle_up	E103
angle_down	E104
angle_right_circle	E105
angle_up_circle	E106
angle_down_circle	E107
angle_left_circle	E108
small_arrow_down	E109
small_arrow_up	E110
small_arrow_left	E111
small_arrow_right	E112
circle_arrow_down	E113
circle_arrow_up	E114
circle_arrow_left	E115
circle_arrow_right	E116
ring_left	E117
ring_right	E118
spinner	E119
caret_up_sign	E120
caret_right_sign	E121
caret_left_sign	E122
plus_circle E123
plus  E124
warning_sign_outline  E125
warning_sign  F071
